Reference,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","2u2","C_0603_1608Metric",-15.250000,3.750000,-90.000000,top
"C2","100n","C_0402_1005Metric",-13.000000,3.250000,-90.000000,top
"C3","100n","C_0402_1005Metric",-10.000000,7.300000,0.000000,top
"C4","100n","C_0402_1005Metric",-9.000000,-7.500000,180.000000,top
"C5","100n","C_0402_1005Metric",-0.250000,-6.000000,0.000000,top
"C6","100n","C_0402_1005Metric",0.762000,5.588000,90.000000,top
"C7","100n","C_0402_1005Metric",-13.000000,-2.000000,90.000000,top
"C8","2u2","C_0603_1608Metric",-13.800000,-8.800000,-60.000000,top
"C9","100n","C_0402_1005Metric",-14.800000,-13.800000,-150.000000,top
"C10","12p","C_0402_1005Metric",-20.320000,4.200000,0.000000,top
"C11","12p","C_0402_1005Metric",-20.320000,-1.600000,180.000000,top
"C12","2u2","C_0603_1608Metric",-2.500000,-7.700000,0.000000,top
"C13","2u2","C_0603_1608Metric",3.000000,6.000000,90.000000,top
"C14","2u2","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",15.750000,-9.250000,-90.000000,top
"C15","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",9.250000,-1.016000,-90.000000,top
"C16","100n","C_0402_1005Metric",10.000000,-4.250000,90.000000,top
"C17","2u2","C_0603_1608Metric",-7.747000,-19.939000,0.000000,top
"C18","100n","C_0402_1005Metric",-12.319000,-16.256000,90.000000,top
"C19","10n","C_0402_1005Metric",-8.750000,17.250000,180.000000,top
"C20","100n","C_0402_1005Metric",-13.000000,13.750000,-90.000000,top
"C21","100n","C_0402_1005Metric",0.269000,-14.478000,-90.000000,top
"C22","100n","C_0402_1005Metric",-1.270000,-16.256000,0.000000,top
"C23","100n","C_0402_1005Metric",0.254000,-18.034000,-90.000000,top
"C24","100n","C_0402_1005Metric",-8.500000,-12.500000,90.000000,top
"C25","100n","C_0402_1005Metric",-10.750000,17.250000,180.000000,top
"C26","2u2","C_0603_1608Metric",-12.000000,9.500000,-90.000000,top
"D1","White","LED_0603_1608Metric",5.000000,-6.750000,180.000000,top
"D2","B5819W","D_SOD-123",20.000000,1.500000,90.000000,top
"F1","1A","L_1206_3216Metric",20.000000,-3.500000,90.000000,top
"FB1","100 @ 100MHz","L_0805_2012Metric",15.250000,-6.250000,180.000000,top
"H3","~","JLC_Tooling",-11.500000,20.190000,0.000000,top
"H4","~","JLC_Tooling",23.000000,0.000000,0.000000,top
"H5","~","JLC_Tooling",-11.500000,-20.250000,0.000000,top
"J1","USB_B_Micro","101181920002LF",16.716858,9.662917,120.000000,top
"J3","Micro_SD_Card","503398-1892",-6.550000,22.250000,0.000000,top
"L1","3u3","L_7.3x7.3_H4.5",14.478000,-1.016000,90.000000,top
"Q1","Q_PMOS_GSD","TSOT-23",13.480000,-13.250000,180.000000,top
"R1","10k","R_0402_1005Metric",-15.494000,-5.588000,-150.000000,top
"R2","10R","R_0402_1005Metric",-12.500000,5.000000,0.000000,top
"R3","10R","R_0402_1005Metric",-14.732000,-6.858000,-150.000000,top
"R4","47R","R_0402_1005Metric",-16.510000,0.250000,0.000000,top
"R5","1k5","R_0402_1005Metric",2.000000,-3.250000,90.000000,top
"R6","1k5","R_0402_1005Metric",-10.000000,10.250000,180.000000,top
"R7","1k5","R_0402_1005Metric",-8.000000,10.250000,0.000000,top
"R10","100k","R_0402_1005Metric",14.000000,-8.250000,-90.000000,top
"R12","47R","R_0402_1005Metric",-11.000000,-12.500000,-90.000000,top
"R13","56R","R_0805_2012Metric",-2.079000,-14.478000,180.000000,top
"R14","47R","R_0402_1005Metric",-13.520000,-16.280000,-90.000000,top
"R15","56R","R_0805_2012Metric",-2.059000,-18.034000,0.000000,top
"R16","100k","R_0402_1005Metric",-9.750000,-12.500000,-90.000000,top
"R18","100k","R_0402_1005Metric",12.500000,-9.750000,180.000000,top
"SW1","SW_Panasonic_EVQPUC","Panasonic_EVQPUL_EVQPUC",-17.018000,-9.902000,120.000000,top
"SW2","SW_SPDT","SW_SPDT_PCM12",-17.018000,9.906000,-120.000000,top
"U1","STM32F405RGT6","LQFP-64_10x10mm_P0.5mm",-5.500000,0.000000,0.000000,top
"U2","LMR16006YQ3","SOT-23-6",11.250000,-7.250000,0.000000,top
"U3","SN65HVD230","SOIC-8_3.9x4.9mm_P1.27mm",-7.747000,-16.256000,0.000000,top
"U4","USBLC6-2","SOT-23-6",3.128000,-16.256000,0.000000,top
"U5","MPU-6050","InvenSense_QFN-24_4x4mm_P0.5mm",-9.750000,13.750000,180.000000,top
"U6","USBLC6-2","SOT-23-6",10.500000,6.750000,0.000000,top
"Y1","25MHz 12pF","Crystal_SMD_3225-4Pin_3.2x2.5mm",-20.320000,1.270000,90.000000,top
